name,model_id,candidate_status,total_ms,tokens_per_sec,actual_kv_memory_mb,working_set_memory_mb,size_ratio,compression_factor,logit_cosine,kl_divergence,top1_match,top5_overlap,top10_overlap,max_logit_delta,gate_status,promotion_eligible,real_cache_used,count,notes,failed_gate_reasons
rfsn_v10_k8_v5_gs32,unknown,BASELINE,771.5875486658964,67.41385654931793,2.6455078125,976.2036960919698,0.5,2.0,1.0,0.0,1.0,1.0,1.0,0.0,PASS,True,True,6,RFSN v10 stable baseline — config=k8_v5_gs32 bits=8 gs=32  Real RFSN v10 quantized KV cache active via SDPA patch.,[]
rfsn_v10_k8_v5_gs64,unknown,BASELINE,937.0819860050688,54.7690190536195,2.6455078125,975.3485399881998,0.5,2.0,1.0,0.0,1.0,1.0,1.0,0.0,PASS,True,True,6,RFSN v10 stable baseline — config=k8_v5_gs64 bits=8 gs=64  Real RFSN v10 quantized KV cache active via SDPA patch.,[]
